User-ID,ISBN,Predicted-Rating,Actual-Rating,Rating Difference,Difference Direction,,,,,,
196018,226307786,7.5,2,5.5,-1,,Actual/Perdicted,High,Low,,RSME
135149,156006219,7.675,2,5.675,-1,,High,114,35,,1.851416998
268932,307118932,7.425,3,4.425,-1,,Low,28,23,,
36554,312000499,7.45,3,4.45,-1,,,,,200,
107523,451169530,7.725,4,3.725,-1,,,,,,
261567,2070417069,7.575,4,3.575,-1,,,,,,
243533,931580455,7.525,4,3.525,-1,,,,,,
153662,084235025X,8.525,5,3.525,-1,,,,,,
261895,898792932,7.275,5,2.275,-1,,,,,,
93426,515117919,7.2,5,2.2,-1,,,,,,
169243,044900399X,7.225,5,2.225,-1,,,,,,
236251,140445617,7.4,5,2.4,-1,,,,,,
58363,670823163,7.825,5,2.825,-1,,,,,,
117384,1558507515,8.25,5,3.25,-1,,,,,,
251422,553562614,7.175,5,2.175,-1,,,,,,
96389,821742590,7.475,5,2.475,-1,,,,,,
248718,886775531,7.7,5,2.7,-1,,,,,,
213663,747264929,7.25,5,2.25,-1,,,,,,
75787,1582970254,7.85,5,2.85,-1,,,,,,
247240,452282829,7,5,2,-1,,,,,,
209516,380018446,7.4,5,2.4,-1,,,,,,
264634,1551664798,7.225,5,2.225,-1,,,,,,
69790,60502258,7.775,5,2.775,-1,,,,,,
11676,140620621,7.55,5,2.55,-1,,,,,,
221535,076790673X,7.525,5,2.525,-1,,,,,,
185147,374230781,7.35,5,2.35,-1,,,,,,
174428,446672211,7.375,5,2.375,-1,,,,,,
23902,312981309,7.4,6,1.4,-1,,,,,,
208620,553575953,7.25,6,1.25,-1,,,,,,
88283,156010887,7.05,6,1.05,-1,,,,,,
13518,380718340,7.925,6,1.925,-1,,,,,,
32721,553574574,7.25,6,1.25,-1,,,,,,
7915,452264510,7.5,6,1.5,-1,,,,,,
260475,312869061,7.475,6,1.475,-1,,,,,,
61259,078943301X,7.6,6,1.6,-1,,,,,,
174596,345382536,7.275,6,1.275,-1,,,,,,
34801,61020702,7.45,6,1.45,-1,,,,,,
224809,312198396,7.25,6,1.25,-1,,,,,,
29789,671793888,7.35,6,1.35,-1,,,,,,
93794,553582208,7.025,6,1.025,-1,,,,,,
2288,310466628,7.725,6,1.725,-1,,,,,,
270625,843396920X,7.725,6,1.725,-1,,,,,,
35704,1582343586,7.625,6,1.625,-1,,,,,,
196479,312288115,7.55,6,1.55,-1,,,,,,
176214,60001453,7.125,6,1.125,-1,,,,,,
202447,229031207X,7.725,6,1.725,-1,,,,,,
250368,312268610,7.05,6,1.05,-1,,,,,,
262102,3426618230,6.775,6,0.775,-1,,,,,,
173203,141186151,7.5,6,1.5,-1,,,,,,
262102,3426618230,6.775,6,0.775,-1,,,,,,
158254,679735259,7.5,6,1.5,-1,,,,,,
146113,156233252X,7.7,7,0.7,-1,,,,,,
