User-ID,ISBN,Predicted-Rating,Actual-Rating,Rating Difference,Difference Direction,,,,,,
251843,399149325,7.125,1,6.125,-1,,Actual/Perdicted,High,Low,,RSME
261829,679735771,7.325,1,6.325,-1,,High,110,39,,1.851416998
212923,375706143,7.375,2,5.375,-1,,Low,39,12,,
222621,354825103X,7.15,3,4.15,-1,,,,,200,
191093,446364797,6.625,4,2.625,-1,,Precision,0.738255034,,,
261567,2070417069,7.575,4,3.575,-1,,Recall,0.738255034,,,
106294,553568701,7.675,5,2.675,-1,,F-measure,0.738255034,,,
141719,452275873,7.375,5,2.375,-1,,,,,,
129718,314922113,7.95,5,2.95,-1,,,,,,
239074,031202911X,7.475,5,2.475,-1,,,,,,
37512,553277537,8.05,5,3.05,-1,,,,,,
21257,312974485,7.45,5,2.45,-1,,,,,,
48494,399139605,7.925,5,2.925,-1,,,,,,
174428,446672211,7.375,5,2.375,-1,,,,,,
152651,440235596,8.325,5,3.325,-1,,,,,,
185233,375401601,7.35,5,2.35,-1,,,,,,
185233,689803664,7.175,5,2.175,-1,,,,,,
252676,042513525X,7.35,5,2.35,-1,,,,,,
183532,195074750,7.75,5,2.75,-1,,,,,,
86641,812522397,7.425,5,2.425,-1,,,,,,
107784,61061700,7.8,5,2.8,-1,,,,,,
63714,460862316,7.825,5,2.825,-1,,,,,,
191560,517593343,6.65,5,1.65,-1,,,,,,
51269,3257226055,8.425,5,3.425,-1,,,,,,
229632,037370433X,7.675,5,2.675,-1,,,,,,
45418,671898019,7.85,5,2.85,-1,,,,,,
50007,60931078,7.775,5,2.775,-1,,,,,,
268932,039480029X,7.5,5,2.5,-1,,,,,,
174596,140272828,7.35,5,2.35,-1,,,,,,
122938,375707972,7.25,5,2.25,-1,,,,,,
185147,374230781,7.35,5,2.35,-1,,,,,,
130554,679890696,8.175,5,3.175,-1,,,,,,
129718,314922113,7.95,5,2.95,-1,,,,,,
238910,373761554,7.35,5,2.35,-1,,,,,,
115707,399147284,7.85,6,1.85,-1,,,,,,
237249,553580388,7.075,6,1.075,-1,,,,,,
108583,1555612415,7.925,6,1.925,-1,,,,,,
108583,1555612415,7.925,6,1.925,-1,,,,,,
31229,1857022157,7.175,6,1.175,-1,,,,,,
248718,425143899,7.425,6,1.425,-1,,,,,,
173203,141186151,7.5,6,1.5,-1,,,,,,
50859,66212367,8.1,6,2.1,-1,,,,,,
255648,345413881,8.25,6,2.25,-1,,,,,,
208112,684863472,7.55,6,1.55,-1,,,,,,
52917,1570623538,8.4,6,2.4,-1,,,,,,
158295,804110867,7.45,6,1.45,-1,,,,,,
264191,2070373630,7,6,1,-1,,,,,,
208620,553575953,7.25,6,1.25,-1,,,,,,
208620,553575953,7.25,6,1.25,-1,,,,,,
242826,553583913,7.55,6,1.55,-1,,,,,,
90232,2266064061,7.975,6,1.975,-1,,,,,,
109779,805067418,8.1,7,1.1,-1,,,,,,
91647,743437640,7.625,7,0.625,-1,,,,,,
178194,60177764,7.525,7,0.525,-1,,,,,,
259057,2841861716,8.1,7,1.1,-1,,,,,,
88677,821717162,7.825,7,0.825,-1,,,,,,
178522,688162827,7.75,7,0.75,-1,,,,,,
41174,8401321069,7.2,7,0.2,-1,,,,,,
194600,312966202,7.325,7,0.325,-1,,,,,,
259445,385498799,8.075,7,1.075,-1,,,,,,
245674,1883518008,7,7,0,0,,,,,,
60707,804106304,7.7,7,0.7,-1,,,,,,
11676,553582747,7.675,7,0.675,-1,,,,,,
192022,345423615,7.15,7,0.15,-1,,,,,,
61901,767915054,7.55,7,0.55,-1,,,,,,
185441,1555912400,7.1,7,0.1,-1,,,,,,
105517,684848783,7.9,7,0.9,-1,,,,,,
245150,345337662,7.075,7,0.075,-1,,,,,,
223231,671015532,7.05,7,0.05,-1,,,,,,
105745,8423313174,7.7,7,0.7,-1,,,,,,
33505,316666343,6.975,7,0.025,1,,,,,,
252806,316284955,7.3,7,0.3,-1,,,,,,
235392,441003745,7.55,7,0.55,-1,,,,,,
217740,8441403953,7.825,7,0.825,-1,,,,,,
